item_id,rater_uid,feedback,gmt_create,cleaned_text,tokens,filtered_tokens,sentiment_score,sentiment_label
i100,u1047,质量 很 好 很 舒服 给 卖家 一百 个 赞 ,2014-09-21 10:08:52,质量 很 好 很 舒服 给 卖家 一百 个 赞 ,"['质量', ' ', '很', ' ', '好', ' ', '很', ' ', '舒服', ' ', '给', ' ', '卖家', ' ', '一百', ' ', '个', ' ', '赞', ' ']","['质量', ' ', ' ', ' ', ' ', '舒服', ' ', ' ', '卖家', ' ', '一百', ' ', ' ', '赞', ' ']",0,Neutral
i100,u328,衣服 质量 也 太 不 怎么样 ！ 还 偏 大 ， 买 时 也 不 提醒 自己 衣服 偏 大 ， 让 买 时 注意 点 ！ 真是 价钱 偏 低 ， 什么 也 不 提醒 ,2014-09-01 20:46:45,衣服 质量 也 太 不 怎么样  还 偏 大  买 时 也 不 提醒 自己 衣服 偏 大  让 买 时 注意 点  真是 价钱 偏 低  什么 也 不 提醒 ,"['衣服', ' ', '质量', ' ', '也', ' ', '太', ' ', '不', ' ', '怎么样', ' ', ' ', '还', ' ', '偏', ' ', '大', ' ', ' ', '买', ' ', '时', ' ', '也', ' ', '不', ' ', '提醒', ' ', '自己', ' ', '衣服', ' ', '偏', ' ', '大', ' ', ' ', '让', ' ', '买', ' ', '时', ' ', '注意', ' ', '点', ' ', ' ', '真是', ' ', '价钱', ' ', '偏', ' ', '低', ' ', ' ', '什么', ' ', '也', ' ', '不', ' ', '提醒', ' ']","['衣服', ' ', '质量', ' ', ' ', '太', ' ', ' ', ' ', ' ', ' ', '偏', ' ', ' ', ' ', '买', ' ', '时', ' ', ' ', ' ', '提醒', ' ', ' ', '衣服', ' ', '偏', ' ', ' ', ' ', ' ', '买', ' ', '时', ' ', '注意', ' ', '点', ' ', ' ', '真是', ' ', '价钱', ' ', '偏', ' ', '低', ' ', ' ', ' ', ' ', ' ', '提醒', ' ']",0,Neutral
i100,u1990,真心 便宜   质量 不错 。 ,2014-09-13 14:09:49,真心 便宜   质量 不错  ,"['真心', ' ', '便宜', ' ', ' ', ' ', '质量', ' ', '不错', ' ', ' ']","['真心', ' ', '便宜', ' ', ' ', ' ', '质量', ' ', '不错', ' ', ' ']",1,Positive
i100,u2300,帮 人 买 的 ， 货品 还 可以 ， 货主 很 满意 ,2014-09-22 12:00:17,帮 人 买 的  货品 还 可以  货主 很 满意 ,"['帮', ' ', '人', ' ', '买', ' ', '的', ' ', ' ', '货品', ' ', '还', ' ', '可以', ' ', ' ', '货主', ' ', '很', ' ', '满意', ' ']","['帮', ' ', ' ', '买', ' ', ' ', ' ', '货品', ' ', ' ', ' ', ' ', '货主', ' ', ' ', '满意', ' ']",1,Positive
i101,u1348,质量 都 挺好 的 ， 没 问题 ， 橡皮筋 我 超 喜欢 颜色 鲜艳 ， 够 我 女儿 用 很 久 了 ！ 这 个 稍 胖 的 人 不 能 穿 ！ ,2014-09-11 23:06:09,质量 都 挺好 的  没 问题  橡皮筋 我 超 喜欢 颜色 鲜艳  够 我 女儿 用 很 久 了  这 个 稍 胖 的 人 不 能 穿  ,"['质量', ' ', '都', ' ', '挺', '好', ' ', '的', ' ', ' ', '没', ' ', '问题', ' ', ' ', '橡皮筋', ' ', '我', ' ', '超', ' ', '喜欢', ' ', '颜色', ' ', '鲜艳', ' ', ' ', '够', ' ', '我', ' ', '女儿', ' ', '用', ' ', '很', ' ', '久', ' ', '了', ' ', ' ', '这', ' ', '个', ' ', '稍', ' ', '胖', ' ', '的', ' ', '人', ' ', '不', ' ', '能', ' ', '穿', ' ', ' ']","['质量', ' ', ' ', '挺', ' ', ' ', ' ', '没', ' ', '问题', ' ', ' ', '橡皮筋', ' ', ' ', '超', ' ', '喜欢', ' ', '颜色', ' ', '鲜艳', ' ', ' ', '够', ' ', ' ', '女儿', ' ', ' ', ' ', '久', ' ', ' ', ' ', ' ', ' ', '稍', ' ', '胖', ' ', ' ', ' ', ' ', ' ', '穿', ' ', ' ']",1,Positive
i101,u4,很 好 哦 ～ 在 实体店 根本 买 不 到 那么 优惠 的 商品 ， 物超所值 ！ 买 了 很 多 件 ， 好评 全 满分 ， 以后 还 会 再 来 ， 嘿嘿 ? ,2014-09-14 00:55:50,很 好 哦  在 实体店 根本 买 不 到 那么 优惠 的 商品  物超所值  买 了 很 多 件  好评 全 满分  以后 还 会 再 来  嘿嘿  ,"['很', ' ', '好', ' ', '哦', ' ', ' ', '在', ' ', '实体店', ' ', '根本', ' ', '买', ' ', '不', ' ', '到', ' ', '那么', ' ', '优惠', ' ', '的', ' ', '商品', ' ', ' ', '物超所值', ' ', ' ', '买', ' ', '了', ' ', '很', ' ', '多', ' ', '件', ' ', ' ', '好评', ' ', '全', ' ', '满分', ' ', ' ', '以后', ' ', '还', ' ', '会', ' ', '再', ' ', '来', ' ', ' ', '嘿嘿', ' ', ' ']","[' ', ' ', ' ', ' ', ' ', '实体店', ' ', '根本', ' ', '买', ' ', ' ', ' ', ' ', '优惠', ' ', ' ', '商品', ' ', ' ', '物超所值', ' ', ' ', '买', ' ', ' ', ' ', ' ', '件', ' ', ' ', '好评', ' ', '全', ' ', '满分', ' ', ' ', '以后', ' ', ' ', '会', ' ', ' ', ' ', ' ', ' ', ' ']",0,Neutral
i102,u1059,先 买 了 一 条 ， 觉得 好 就 又 买 了 一 条 ， 帮 朋友 还 带 了 一 条 ,2014-09-29 19:14:23,先 买 了 一 条  觉得 好 就 又 买 了 一 条  帮 朋友 还 带 了 一 条 ,"['先', ' ', '买', ' ', '了', ' ', '一', ' ', '条', ' ', ' ', '觉得', ' ', '好', ' ', '就', ' ', '又', ' ', '买', ' ', '了', ' ', '一', ' ', '条', ' ', ' ', '帮', ' ', '朋友', ' ', '还', ' ', '带', ' ', '了', ' ', '一', ' ', '条', ' ']","['先', ' ', '买', ' ', ' ', ' ', '条', ' ', ' ', '觉得', ' ', ' ', ' ', ' ', '买', ' ', ' ', ' ', '条', ' ', ' ', '帮', ' ', '朋友', ' ', ' ', '带', ' ', ' ', ' ', '条', ' ']",0,Neutral
i102,u936,感觉 很 不错 ， 穿 上 蛮 舒服 的 ！ ,2014-09-19 22:26:38,感觉 很 不错  穿 上 蛮 舒服 的  ,"['感觉', ' ', '很', ' ', '不错', ' ', ' ', '穿', ' ', '上', ' ', '蛮', ' ', '舒服', ' ', '的', ' ', ' ']","['感觉', ' ', ' ', '不错', ' ', ' ', '穿', ' ', ' ', '蛮', ' ', '舒服', ' ', ' ', ' ']",1,Positive
i102,u924,很 便宜 ， 质量超好 ， 物超所值 ,2014-09-30 17:37:41,很 便宜  质量超好  物超所值 ,"['很', ' ', '便宜', ' ', ' ', '质量', '超好', ' ', ' ', '物超所值', ' ']","[' ', '便宜', ' ', ' ', '质量', '超好', ' ', ' ', '物超所值', ' ']",0,Neutral
i102,u967,质量 很 好 ， 于 描述 的 一样 ,2014-09-19 18:43:41,质量 很 好  于 描述 的 一样 ,"['质量', ' ', '很', ' ', '好', ' ', ' ', '于', ' ', '描述', ' ', '的', ' ', '一样', ' ']","['质量', ' ', ' ', ' ', ' ', ' ', '描述', ' ', ' ', ' ']",0,Neutral
i103,u1685,黑色 的 下边 蕾丝 容易 起 球 粘 身上 ,2014-09-15 06:49:27,黑色 的 下边 蕾丝 容易 起 球 粘 身上 ,"['黑色', ' ', '的', ' ', '下边', ' ', '蕾丝', ' ', '容易', ' ', '起', ' ', '球', ' ', '粘', ' ', '身上', ' ']","['黑色', ' ', ' ', '下边', ' ', '蕾丝', ' ', '容易', ' ', ' ', '球', ' ', '粘', ' ', '身上', ' ']",0,Neutral
i104,u694,服务 态度 好 ， 质量 不错 … … ,2014-09-20 09:49:09,服务 态度 好  质量 不错   ,"['服务', ' ', '态度', ' ', '好', ' ', ' ', '质量', ' ', '不错', ' ', ' ', ' ']","['服务', ' ', '态度', ' ', ' ', ' ', '质量', ' ', '不错', ' ', ' ', ' ']",1,Positive
i104,u634,  物流 慢 的 像 蜗牛 ， 一个 星期 才 到货 ， 洗 了 一次 就 变形 了 ， 超 差 。 ,2014-09-02 22:26:52,  物流 慢 的 像 蜗牛  一个 星期 才 到货  洗 了 一次 就 变形 了  超 差  ,"[' ', ' ', '物流', ' ', '慢', ' ', '的', ' ', '像', ' ', '蜗牛', ' ', ' ', '一个', ' ', '星期', ' ', '才', ' ', '到货', ' ', ' ', '洗', ' ', '了', ' ', '一次', ' ', '就', ' ', '变形', ' ', '了', ' ', ' ', '超', ' ', '差', ' ', ' ']","[' ', ' ', '物流', ' ', '慢', ' ', ' ', ' ', '蜗牛', ' ', ' ', '一个', ' ', '星期', ' ', ' ', '到货', ' ', ' ', '洗', ' ', ' ', '一次', ' ', ' ', '变形', ' ', ' ', ' ', '超', ' ', '差', ' ', ' ']",-1,Negative
i105,u630,好 ， 物流 快 ， 包装 好 ， 手感 好 ， 值得 赞 。 ,2014-09-19 09:49:02,好  物流 快  包装 好  手感 好  值得 赞  ,"['好', ' ', ' ', '物流', ' ', '快', ' ', ' ', '包装', ' ', '好', ' ', ' ', '手感', ' ', '好', ' ', ' ', '值得', ' ', '赞', ' ', ' ']","[' ', ' ', '物流', ' ', '快', ' ', ' ', '包装', ' ', ' ', ' ', '手感', ' ', ' ', ' ', '值得', ' ', '赞', ' ', ' ']",0,Neutral
i105,u2299,东西 还 不错 价钱 也 合理 ,2014-09-19 09:00:32,东西 还 不错 价钱 也 合理 ,"['东西', ' ', '还', ' ', '不错', ' ', '价钱', ' ', '也', ' ', '合理', ' ']","['东西', ' ', ' ', '不错', ' ', '价钱', ' ', ' ', '合理', ' ']",1,Positive
i106,u450,衣服 很 好 ， 秋天 穿 正 合适 。 ,2014-09-02 12:57:29,衣服 很 好  秋天 穿 正 合适  ,"['衣服', ' ', '很', ' ', '好', ' ', ' ', '秋天', ' ', '穿', ' ', '正', ' ', '合适', ' ', ' ']","['衣服', ' ', ' ', ' ', ' ', '秋天', ' ', '穿', ' ', '正', ' ', '合适', ' ', ' ']",0,Neutral
i106,u521,衣服 稍微 大 了 一 丢丢 。 。 。 。 ,2014-09-30 15:43:02,衣服 稍微 大 了 一 丢丢     ,"['衣服', ' ', '稍微', ' ', '大', ' ', '了', ' ', '一', ' ', '丢', '丢', ' ', ' ', ' ', ' ', ' ']","['衣服', ' ', '稍微', ' ', ' ', ' ', ' ', '丢', '丢', ' ', ' ', ' ', ' ', ' ']",0,Neutral
i106,u1973,确实 很 好 ～ 下次 还有 卖 ,2014-09-12 14:29:27,确实 很 好  下次 还有 卖 ,"['确实', ' ', '很', ' ', '好', ' ', ' ', '下次', ' ', '还有', ' ', '卖', ' ']","['确实', ' ', ' ', ' ', ' ', '下次', ' ', ' ', '卖', ' ']",0,Neutral
i106,u647,东西 还 行   物流 也 还 行   好评 吧 ,2014-09-07 13:11:09,东西 还 行   物流 也 还 行   好评 吧 ,"['东西', ' ', '还', ' ', '行', ' ', ' ', ' ', '物流', ' ', '也', ' ', '还', ' ', '行', ' ', ' ', ' ', '好评', ' ', '吧', ' ']","['东西', ' ', ' ', '行', ' ', ' ', ' ', '物流', ' ', ' ', ' ', '行', ' ', ' ', ' ', '好评', ' ', ' ']",0,Neutral
i106,u1957,  挺 好看 的 ， 但 商标 确实 不 咋 地 ,2014-09-21 23:54:38,  挺 好看 的  但 商标 确实 不 咋 地 ,"[' ', ' ', '挺', ' ', '好看', ' ', '的', ' ', ' ', '但', ' ', '商标', ' ', '确实', ' ', '不', ' ', '咋', ' ', '地', ' ']","[' ', ' ', '挺', ' ', '好看', ' ', ' ', ' ', ' ', '商标', ' ', '确实', ' ', ' ', ' ', ' ']",0,Neutral
i106,u2192,可以 541 噢 耶 料子 不错 ,2014-09-24 22:53:17,可以  噢 耶 料子 不错 ,"['可以', ' ', ' ', '噢', ' ', '耶', ' ', '料子', ' ', '不错', ' ']","[' ', ' ', '噢', ' ', '耶', ' ', '料子', ' ', '不错', ' ']",1,Positive
i107,u884,亲 ， 不错 哦 ， 我 试 了 下 还是 可以 的   ， 没 什么 异味 ， 支持 哦 ！ ,2014-09-02 14:57:43,亲  不错 哦  我 试 了 下 还是 可以 的    没 什么 异味  支持 哦  ,"['亲', ' ', ' ', '不错', ' ', '哦', ' ', ' ', '我', ' ', '试', ' ', '了', ' ', '下', ' ', '还是', ' ', '可以', ' ', '的', ' ', ' ', ' ', ' ', '没', ' ', '什么', ' ', '异味', ' ', ' ', '支持', ' ', '哦', ' ', ' ']","['亲', ' ', ' ', '不错', ' ', ' ', ' ', ' ', '试', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', '没', ' ', ' ', '异味', ' ', ' ', '支持', ' ', ' ', ' ']",1,Positive
i107,u872,宝贝 很 好 ， 物美价廉 ， 下次 再 光顾 ， ,2014-09-27 20:08:38,宝贝 很 好  物美价廉  下次 再 光顾  ,"['宝贝', ' ', '很', ' ', '好', ' ', ' ', '物美价廉', ' ', ' ', '下次', ' ', '再', ' ', '光顾', ' ', ' ']","['宝贝', ' ', ' ', ' ', ' ', '物美价廉', ' ', ' ', '下次', ' ', ' ', '光顾', ' ', ' ']",0,Neutral
i107,u1136,颜色 与 图片 有 差别 ， 质量 一般 ， 不 想 退换 了 。 ,2014-09-05 08:42:50,颜色 与 图片 有 差别  质量 一般  不 想 退换 了  ,"['颜色', ' ', '与', ' ', '图片', ' ', '有', ' ', '差别', ' ', ' ', '质量', ' ', '一般', ' ', ' ', '不', ' ', '想', ' ', '退换', ' ', '了', ' ', ' ']","['颜色', ' ', ' ', '图片', ' ', ' ', '差别', ' ', ' ', '质量', ' ', ' ', ' ', ' ', '想', ' ', '退换', ' ', ' ', ' ']",0,Neutral
i107,u953,什么 店 ， 买 的 产品 没有 收到 还 不 给 处理 ， 要 不是 申请 售后 ， 我 亏 大 了 ， 把 我 买 的 东西 发 错 地址 且 还有 人 签收 ， 打 电话 也 不 接 这 就是 该 店 的 服务 ， 希望 大家 不要 再 买 这 个 家 的 货 ,2014-09-29 20:48:46,什么 店  买 的 产品 没有 收到 还 不 给 处理  要 不是 申请 售后  我 亏 大 了  把 我 买 的 东西 发 错 地址 且 还有 人 签收  打 电话 也 不 接 这 就是 该 店 的 服务  希望 大家 不要 再 买 这 个 家 的 货 ,"['什么', ' ', '店', ' ', ' ', '买', ' ', '的', ' ', '产品', ' ', '没有', ' ', '收到', ' ', '还', ' ', '不', ' ', '给', ' ', '处理', ' ', ' ', '要', ' ', '不是', ' ', '申请', ' ', '售后', ' ', ' ', '我', ' ', '亏', ' ', '大', ' ', '了', ' ', ' ', '把', ' ', '我', ' ', '买', ' ', '的', ' ', '东西', ' ', '发', ' ', '错', ' ', '地址', ' ', '且', ' ', '还有', ' ', '人', ' ', '签收', ' ', ' ', '打', ' ', '电话', ' ', '也', ' ', '不', ' ', '接', ' ', '这', ' ', '就是', ' ', '该', ' ', '店', ' ', '的', ' ', '服务', ' ', ' ', '希望', ' ', '大家', ' ', '不要', ' ', '再', ' ', '买', ' ', '这', ' ', '个', ' ', '家', ' ', '的', ' ', '货', ' ']","[' ', '店', ' ', ' ', '买', ' ', ' ', '产品', ' ', '没有', ' ', '收到', ' ', ' ', ' ', ' ', '处理', ' ', ' ', ' ', ' ', '申请', ' ', '售后', ' ', ' ', ' ', '亏', ' ', ' ', ' ', ' ', ' ', ' ', '买', ' ', ' ', '东西', ' ', '发', ' ', '错', ' ', '地址', ' ', ' ', ' ', ' ', '签收', ' ', ' ', ' ', '电话', ' ', ' ', ' ', '接', ' ', ' ', ' ', ' ', '店', ' ', ' ', '服务', ' ', ' ', '希望', ' ', ' ', '不要', ' ', ' ', '买', ' ', ' ', ' ', '家', ' ', ' ', '货', ' ']",0,Neutral
i108,u2023,好看 好评 ～ 应该 多 买 几 个 颜色 ～ ,2014-09-28 19:05:10,好看 好评  应该 多 买 几 个 颜色  ,"['好看', ' ', '好评', ' ', ' ', '应该', ' ', '多', ' ', '买', ' ', '几', ' ', '个', ' ', '颜色', ' ', ' ']","['好看', ' ', '好评', ' ', ' ', '应该', ' ', ' ', '买', ' ', ' ', ' ', '颜色', ' ', ' ']",0,Neutral
i108,u2104,很 好 的 东 东 ， 质量 很 好 ， 物超所值 ， 赞 赞 赞 ,2014-09-11 11:45:49,很 好 的 东 东  质量 很 好  物超所值  赞 赞 赞 ,"['很', ' ', '好', ' ', '的', ' ', '东', ' ', '东', ' ', ' ', '质量', ' ', '很', ' ', '好', ' ', ' ', '物超所值', ' ', ' ', '赞', ' ', '赞', ' ', '赞', ' ']","[' ', ' ', ' ', '东', ' ', '东', ' ', ' ', '质量', ' ', ' ', ' ', ' ', '物超所值', ' ', ' ', '赞', ' ', '赞', ' ', '赞', ' ']",0,Neutral
i109,u976,衣服 收到 了 ， 颜色 很 好 ， 和 图片 上 的 一样 。 做工 很 细 ， 卖家 发货 速度 快 ,2014-09-25 10:00:17,衣服 收到 了  颜色 很 好  和 图片 上 的 一样  做工 很 细  卖家 发货 速度 快 ,"['衣服', ' ', '收到', ' ', '了', ' ', ' ', '颜色', ' ', '很', ' ', '好', ' ', ' ', '和', ' ', '图片', ' ', '上', ' ', '的', ' ', '一样', ' ', ' ', '做工', ' ', '很', ' ', '细', ' ', ' ', '卖家', ' ', '发货', ' ', '速度', ' ', '快', ' ']","['衣服', ' ', '收到', ' ', ' ', ' ', '颜色', ' ', ' ', ' ', ' ', ' ', '图片', ' ', ' ', ' ', ' ', ' ', '做工', ' ', ' ', '细', ' ', ' ', '卖家', ' ', '发货', ' ', '速度', ' ', '快', ' ']",0,Neutral
i109,u1590,样式 还 不错 ， 质量 也 可以 ， 就是 感觉 不 像 棉 的 ！ ,2014-09-30 14:44:02,样式 还 不错  质量 也 可以  就是 感觉 不 像 棉 的  ,"['样式', ' ', '还', ' ', '不错', ' ', ' ', '质量', ' ', '也', ' ', '可以', ' ', ' ', '就是', ' ', '感觉', ' ', '不', ' ', '像', ' ', '棉', ' ', '的', ' ', ' ']","['样式', ' ', ' ', '不错', ' ', ' ', '质量', ' ', ' ', ' ', ' ', ' ', '感觉', ' ', ' ', ' ', '棉', ' ', ' ', ' ']",1,Positive
i109,u1277,宝贝 质量超好 的 ， 老公 穿 上 也 很 帅 ， 以后 还 会 再 来 的 ,2014-09-17 23:25:44,宝贝 质量超好 的  老公 穿 上 也 很 帅  以后 还 会 再 来 的 ,"['宝贝', ' ', '质量', '超好', ' ', '的', ' ', ' ', '老公', ' ', '穿', ' ', '上', ' ', '也', ' ', '很', ' ', '帅', ' ', ' ', '以后', ' ', '还', ' ', '会', ' ', '再', ' ', '来', ' ', '的', ' ']","['宝贝', ' ', '质量', '超好', ' ', ' ', ' ', '老公', ' ', '穿', ' ', ' ', ' ', ' ', '帅', ' ', ' ', '以后', ' ', ' ', '会', ' ', ' ', ' ', ' ']",0,Neutral
i109,u170,款式 很 好 ， 做工 也 很 精致 。 弹性 很 好 ， 发货 也 很快 。   很 好 。 ,2014-09-04 20:22:05,款式 很 好  做工 也 很 精致  弹性 很 好  发货 也 很快    很 好  ,"['款式', ' ', '很', ' ', '好', ' ', ' ', '做工', ' ', '也', ' ', '很', ' ', '精致', ' ', ' ', '弹性', ' ', '很', ' ', '好', ' ', ' ', '发货', ' ', '也', ' ', '很快', ' ', ' ', ' ', ' ', '很', ' ', '好', ' ', ' ']","['款式', ' ', ' ', ' ', ' ', '做工', ' ', ' ', ' ', '精致', ' ', ' ', '弹性', ' ', ' ', ' ', ' ', '发货', ' ', ' ', '很快', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0,Neutral
i109,u1641,  做工 简单 ， 没有 预想 的 好 … … 不 太 满意 ,2014-09-02 11:50:52,  做工 简单  没有 预想 的 好   不 太 满意 ,"[' ', ' ', '做工', ' ', '简单', ' ', ' ', '没有', ' ', '预想', ' ', '的', ' ', '好', ' ', ' ', ' ', '不', ' ', '太', ' ', '满意', ' ']","[' ', ' ', '做工', ' ', '简单', ' ', ' ', '没有', ' ', '预想', ' ', ' ', ' ', ' ', ' ', ' ', '太', ' ', '满意', ' ']",1,Positive
i109,u1882,说实话 真 的 不是 很 好看 ， 只有 一般 般 ， 背面 跟 前面 完全 不同 ， 前面 的 条纹 也 是 单独 的 一 层 。 ,2014-09-16 23:43:24,说实话 真 的 不是 很 好看  只有 一般 般  背面 跟 前面 完全 不同  前面 的 条纹 也 是 单独 的 一 层  ,"['说实话', ' ', '真', ' ', '的', ' ', '不是', ' ', '很', ' ', '好看', ' ', ' ', '只有', ' ', '一般', ' ', '般', ' ', ' ', '背面', ' ', '跟', ' ', '前面', ' ', '完全', ' ', '不同', ' ', ' ', '前面', ' ', '的', ' ', '条纹', ' ', '也', ' ', '是', ' ', '单独', ' ', '的', ' ', '一', ' ', '层', ' ', ' ']","['说实话', ' ', '真', ' ', ' ', ' ', ' ', '好看', ' ', ' ', ' ', ' ', '般', ' ', ' ', '背面', ' ', ' ', '前面', ' ', '完全', ' ', '不同', ' ', ' ', '前面', ' ', ' ', '条纹', ' ', ' ', ' ', '单独', ' ', ' ', ' ', '层', ' ', ' ']",0,Neutral
i109,u1766,宝贝 不错 ， 特 实惠 ， 以后 再 来 买 ！ ,2014-09-04 23:43:55,宝贝 不错  特 实惠  以后 再 来 买  ,"['宝贝', ' ', '不错', ' ', ' ', '特', ' ', '实惠', ' ', ' ', '以后', ' ', '再', ' ', '来', ' ', '买', ' ', ' ']","['宝贝', ' ', '不错', ' ', ' ', '特', ' ', '实惠', ' ', ' ', '以后', ' ', ' ', ' ', '买', ' ', ' ']",1,Positive
